ZipCode,Area
6510,622905
6511,15674165
6512,32422309
6513,19769474
6514,29457787
6515,11885359
6516,31075615
6517,14313431
6518,42577205
6519,5771818
6524,55720621
6525,49694262
6604,12969889
6605,7091486
6606,14064867
6607,5030452
6608,3015655
6610,8052711
6611,62589368
6612,72701418
6614,29928951
6615,21628101
6702,1710478
6704,21151428
6705,14694115
6706,9934945
6708,24749797
6710,2554889
6712,37440857
6716,54654178
6750,19815886
6751,49891040
6752,45598698
6754,85207131
6755,12145160
6756,96951149
6757,90707004
6758,6898200
6759,132329306
6762,46878576
6763,41483186
6770,43554709
6776,148386549
6777,43899441
6778,18478022
6779,8394815
6782,20092906
6783,67091321
6784,64726365
6785,35998149
6786,37757572
6787,32236733
6790,109177465
6791,80823470
6793,36760827
6794,35185807
6795,69063964
6796,96505947
6798,94909229
6801,43833920
6804,52777038
6807,8478389
6810,54282230
6811,60033052
6812,65149070
6820,38775934
6824,55493745
6825,17518530
6830,47606167
6831,72648659
6840,58335709
6850,17578790
6851,19920305
6853,4159047
6854,19066877
6855,13051724
6856,9568
6870,9784129
6877,90923567
6878,8299215
6880,67345304
6883,53545140
6890,7881265
6896,82795491
6897,70711217
6901,1204494
6902,32491879
6903,47295471
6905,12890102
6906,3131658
6907,5414353
7001,9845941
7002,17209571
7003,13758417
7004,27065971
7005,53064093
7006,24003595
7008,13033948
7009,11339579
7010,2493329
7011,8837395
7012,5431783
7013,11289535
7014,3688240
7016,12608928
7017,5815629
7018,4382846
7020,6271822
7021,3659533
7022,2184828
7023,3475081
7024,7501306
7026,5801740
7027,1720229
7028,3363784
7029,3735268
7030,3272739
7031,6792722
7032,25732003
7033,5598112
7034,3305666
7035,18768370
7036,30003059
7039,36560564
7040,9030860
7041,3419378
7042,9794687
7043,6731674
7044,7248281
7045,19093481
7046,7511676
7047,13743953
7050,5689540
7052,31547920
7054,37261065
7055,8387215
7057,2678684
7058,7879022
7059,50877361
7060,13172567
7062,4806821
7063,4727088
7064,3790023
7065,10433594
7066,11640195
7067,10358200
7068,9218947
