"","population","latitude","longitude"
"2452","14238","42.3920725","-71.2184428"
"2453","28968","42.3695421","-71.2405131"
"2457","1432","42.2993878","-71.274242"
"2458","12131","42.3534095","-71.1878824"
"2459","19095","42.3147789","-71.1920167"
"2460","8742","42.351824","-71.2084904"
"2461","7059","42.3173616","-71.2065077"
"2462","1554","42.3287076","-71.2559002"
"2464","2953","42.3129751","-71.2188818"
"2465","11710","42.3489119","-71.22633"
"2466","8096","42.3444566","-71.2486166"
"2467","22491","42.3146076","-71.1530601"
"2468","5273","42.3285534","-71.2295534"
"2472","32014","42.3694508","-71.1779249"
"2474","26312","42.4209494","-71.1563695"
"2476","16532","42.4156366","-71.17567"
"2478","24664","42.3953169","-71.180284"
"2481","16244","42.3119273","-71.2755312"
"2482","10306","42.2931365","-71.2981224"
"2492","19931","42.276029","-71.2445431"
"2493","11261","42.3605016","-71.3034335"
"2494","8955","42.299405","-71.2327062"
"2532","12690","41.7517667","-70.597596"
"2534","842","41.6678239","-70.6203561"
"2535","1177","41.3344129","-70.7630589"
"2536","19583","41.5969756","-70.5678768"
"2537","6293","41.7284226","-70.4358181"
"2538","3603","41.7763595","-70.6489232"
"2539","4067","41.3776598","-70.5220914"
"2540","8221","41.57419","-70.6282848"
"2542","1139","41.7078392","-70.5455195"
"2543","635","41.478974","-70.766911"
"2553","226","41.7125165","-70.6207578"
"2554","9852","41.291167","-70.0928255"
"2556","3115","41.6394454","-70.6245149"
"2557","4491","41.4412985","-70.5740932"
"2558","2156","41.745017","-70.653513"
"2559","3376","41.6902429","-70.6162831"
"2561","539","41.7693481","-70.5325952"
"2562","2977","41.7872087","-70.5267169"
"2563","10359","41.7281369","-70.4765487"
"2564","310","41.2706281","-69.986367"
"2568","4000","41.4585938","-70.6159196"
"2571","10481","41.7611873","-70.6959913"
"2575","2725","41.4002519","-70.6569337"
"2576","3754","41.7722213","-70.7629481"
"2584","10","41.258688","-70.0071419"
"2601","14089","41.6578633","-70.298442"
"2630","1850","41.7045061","-70.3035373"
"2631","9679","41.7470163","-70.0687794"
"2632","10742","41.6590949","-70.3468764"
"2633","3884","41.6897294","-69.9721279"
"2635","3296","41.6229048","-70.4382058"
"2637","253","41.705725","-70.2709285"
"2638","3207","41.7302041","-70.1974114"
"2639","2875","41.6669036","-70.1356453"
"2641","532","41.7512456","-70.1534717"
"2642","4937","41.841331","-69.9774364"
"2643","26","41.7977769","-69.9373266"
"2644","3955","41.6834882","-70.5107856"
"2645","9663","41.7058397","-70.0580709"
"2646","1676","41.6705961","-70.0714493"
